#,Fiscal Year,SEMESTER,PLANNER BUCKET,TASK,ASSIGNMENT TITLE,AUDIENCE,START,END,PROGRESS
1,2026,,Theme Meal,Potato Bowl -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
2,2026,,Theme Meal,Homecoming Celebration -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
3,2026,,Theme Meal,Chili Challenge,Dining,,1900-12-30,1900-12-30,NOT STARTED
4,2026,,Theme Meal,Halloween Spook-tacular Hocus Pocus Themed -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
5,2026,,Theme Meal,Alaska Seafood Sustainable Dinner ,Dining,,1900-12-30,1900-12-30,NOT STARTED
6,2026,,Theme Meal,Winter Wonderland -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
7,2026,,Theme Meal,Wing Challenge (Wilkerson Commons),Dining,,1900-12-30,1900-12-30,NOT STARTED
8,2026,,Theme Meal,Mardi Gras Dinner -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
9,2026,,Theme Meal,Student Chopped Competition,Dining,,1900-12-30,1900-12-30,NOT STARTED
10,2026,,Theme Meal,Time-Out Week Menu,Dining,,1900-12-30,1900-12-30,NOT STARTED
11,2026,,Theme Meal,Celebrate Earth Day ,Dining,,1900-12-30,1900-12-30,NOT STARTED
12,2026,,Theme Meal,Star Wars Theme Dinner,Dining,,1900-12-30,1900-12-30,NOT STARTED
13,2026,,Camps and Conferences,Summer Camp/Conference Staff Selection Begins,Associate Director of Residence Life,,1900-12-30,1900-12-30,NOT STARTED
14,2026,,Theme Meal,Black History Month,Dining,,1900-12-30,1900-12-30,NOT STARTED
15,2026,,Theme Meal,Latin American ,Dining,,1900-12-30,1900-12-30,NOT STARTED
16,2026,,Theme Meal,Vendor Showcase,Dining/Catering,,1900-12-30,1900-12-30,NOT STARTED
17,2026,,Camps and Conferences,Summer Conference Registration Opens,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
18,2026,,Camps and Conferences,Summer Conference Sponsor Meetings Begin,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
19,2026,,Camps and Conferences,Summer Guest Housing Opens (Swanson),Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
20,2026,,Billing and Financial,Fall Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
21,2026,,Billing and Financial,Apartment August Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
22,2026,,Billing and Financial,Apartment September Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
23,2026,,Billing and Financial,Apartment October Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
24,2026,,Billing and Financial,Apartment November Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
25,2026,,Billing and Financial,Apartment December Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
26,2026,,Billing and Financial,Spring Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
27,2026,,Billing and Financial,Apartment January Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
28,2026,,Billing and Financial,Apartment February Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
29,2026,,Billing and Financial,Apartment March Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
30,2026,,Billing and Financial,Apartment April Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
31,2026,,Billing and Financial,Apartment May Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
32,2026,,Billing and Financial,Summer Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
33,2026,,Billing and Financial,Apartment June Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
34,2026,,Billing and Financial,Apartment July Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
35,2026,,Health and Life Safety,Residence Hall Fall Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
36,2026,,Health and Life Safety,Fall Health & Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
37,2026,,Health and Life Safety,Fall End of Semester Closing Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
38,2026,,Health and Life Safety,Residence Hall  Spring Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
39,2026,,Health and Life Safety,Spring Health & Safety Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
40,2026,,Health and Life Safety,Spring Closing Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
41,2026,,Health and Life Safety,Summer Health & Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
42,2026,,Health and Life Safety,Residence Hall Summer Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
43,2026,,Planning,Update Ops Calendar,,,1900-12-30,1900-12-30,NOT STARTED
44,2026,,Residential Curriculum,,,,1900-12-30,1900-12-30,NOT STARTED
45,2026,,Residential Curriculum,,,,1900-12-30,1900-12-30,NOT STARTED
46,2026,,Recognition,RA Appreciation Day,,,1900-12-30,1900-12-30,NOT STARTED
47,2026,,Recognition,Student Staff Appreciation Day,,,1900-12-30,1900-12-30,NOT STARTED
48,2026,,Recognition,ARH Banquet,ARH,,1900-12-30,1900-12-30,NOT STARTED
49,2026,,Recognition,Student Staff Banquet,,,1900-12-30,1900-12-30,NOT STARTED
50,2026,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
51,2026,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
52,2026,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
53,2026,,Student Leadership,ARH Executive Board Orientation,ARH,,1900-12-30,1900-12-30,NOT STARTED
54,2026,,Student Leadership,ARH Move-Crew Orientation ,"Asst Director, Residential Experiences",,1900-12-30,1900-12-30,NOT STARTED
55,2026,,Student Leadership,Hall Government Recruitment & Elections,ARH,,1900-12-30,1900-12-30,NOT STARTED
56,2026,,Student Leadership,ARH First Official Meeting,ARH,,1900-12-30,1900-12-30,NOT STARTED
57,2026,,Student Leadership,Derrick Hanson Scholarship Process,ARH,,1900-12-30,1900-12-30,NOT STARTED
58,2026,,Student Leadership,NRHH Leadership Scholarships Applications Period,ARH,,1900-12-30,1900-12-30,NOT STARTED
59,2026,,Student Leadership,ARH Elections,ARH,,1900-12-30,1900-12-30,NOT STARTED
60,2025,,Academic,"Current Student, 3 month payment plan opens",,,1900-12-30,1900-12-30,NOT STARTED
61,2025,,Academic,Fall Last Day to change to/from audit grading for Full-Term course,,,1900-12-30,1900-12-30,NOT STARTED
62,2025,,Academic,Satisfactory Academic Progress petitions due,,,1900-12-30,1900-12-30,NOT STARTED
63,2025,,Academic,Report on unsatisfactory progress (deficiencies)due from faculty to starfish,,,1900-12-30,1900-12-30,NOT STARTED
64,2025,,Academic,Spring UND bookstore charing begins,,,1900-12-30,1900-12-30,NOT STARTED
65,2025,,Academic,Spring Satisfactory Academic Progress petitions due,,,1900-12-30,1900-12-30,NOT STARTED
66,2025,,Academic,Summer Last Day to add course or drop without record,,,1900-12-30,1900-12-30,NOT STARTED
67,2025,,Academic,Summer Last Day to drop with record,,,1900-12-30,1900-12-30,NOT STARTED
68,2024,,Theme Meal,Black History Month,Dining,,1900-12-30,1900-12-30,COMPLETE
69,2024,,Theme Meal,Latin American ,Dining,,1900-12-30,1900-12-30,COMPLETE
70,2024,,Theme Meal,Vendor Showcase,Dining,,1900-12-30,1900-12-30,COMPLETE
71,2024,,Residential Curriculum,,,,1900-12-30,1900-12-30,COMPLETE
72,2024,,Residential Curriculum,,,,1900-12-30,1900-12-30,COMPLETE
73,2024,,Recognition,RA Appreciation Day,,,1900-12-30,1900-12-30,COMPLETE
74,2024,,Recognition,Student Staff Appreciation Day,,,1900-12-30,1900-12-30,COMPLETE
75,2024,,Recognition,ARH Banquet,ARH,,1900-12-30,1900-12-30,COMPLETE
76,2024,,Recognition,Student Staff Banquet,,,1900-12-30,1900-12-30,COMPLETE
77,2024,,Staff Training and Development,,,,1900-12-30,1900-12-30,COMPLETE
78,2024,,Staff Training and Development,,,,1900-12-30,1900-12-30,COMPLETE
79,2024,,Staff Training and Development,,,,1900-12-30,1900-12-30,COMPLETE
80,2024,,Student Leadership,ARH Executive Board Orientation,ARH,,1900-12-30,1900-12-30,COMPLETE
81,2024,,Student Leadership,ARH Move-Crew Orientation ,"Asst Director, Residential Experiences",,1900-12-30,1900-12-30,COMPLETE
82,2024,,Student Leadership,Hall Government Recruitment & Elections,ARH,,1900-12-30,1900-12-30,COMPLETE
83,2024,,Student Leadership,ARH First Official Meeting,ARH,,1900-12-30,1900-12-30,COMPLETE
84,2024,,Student Leadership,Derrick Hanson Scholarship Process,ARH,,1900-12-30,1900-12-30,COMPLETE
85,2024,,Student Leadership,NRHH Leadership Scholarships Applications Period,ARH,,1900-12-30,1900-12-30,COMPLETE
86,2024,,Student Leadership,ARH Elections,ARH,,1900-12-30,1900-12-30,COMPLETE
87,2024,,Academic,"Current Student, 3 month payment plan opens",,,1900-12-30,1900-12-30,COMPLETE
88,2024,,Academic,Fall Last Day to change to/from audit grading for Full-Term course,,,1900-12-30,1900-12-30,COMPLETE
89,2024,,Academic,Satisfactory Academic Progress petitions due,,,1900-12-30,1900-12-30,COMPLETE
90,2024,,Academic,Report on unsatisfactory progress (deficiencies)due from faculty to starfish,,,1900-12-30,1900-12-30,COMPLETE
91,2024,,Academic,Spring UND bookstore charing begins,,,1900-12-30,1900-12-30,COMPLETE
92,2024,,Academic,Spring Satisfactory Academic Progress petitions due,,,1900-12-30,1900-12-30,COMPLETE
93,2024,,Academic,Summer Last Day to add course or drop without record,,,1900-12-30,1900-12-30,COMPLETE
94,2024,,Academic,Summer Last Day to drop with record,,,1900-12-30,1900-12-30,COMPLETE
95,2025,,Theme Meal,Potato Bowl -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
96,2025,,Theme Meal,Homecoming Celebration -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
97,2025,,Theme Meal,Chili Challenge,Dining,,1900-12-30,1900-12-30,NOT STARTED
98,2025,,Theme Meal,Halloween Spook-tacular Hocus Pocus Themed -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
99,2025,,Theme Meal,Alaska Seafood Sustainable Dinner ,Dining,,1900-12-30,1900-12-30,NOT STARTED
100,2025,,Theme Meal,Winter Wonderland -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
101,2025,,Theme Meal,Wing Challenge (Wilkerson Commons),Dining,,1900-12-30,1900-12-30,NOT STARTED
102,2025,,Theme Meal,Mardi Gras Dinner -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
103,2025,,Theme Meal,Student Chopped Competition,Dining,,1900-12-30,1900-12-30,NOT STARTED
104,2025,,Theme Meal,Time-Out Week Menu,Dining,,1900-12-30,1900-12-30,NOT STARTED
105,2025,,Theme Meal,Celebrate Earth Day ,Dining,,1900-12-30,1900-12-30,NOT STARTED
106,2025,,Theme Meal,Star Wars Theme Dinner,Dining,,1900-12-30,1900-12-30,NOT STARTED
107,2025,,Camps and Conferences,Summer Camp/Conference Staff Selection Begins,Associate Director of Residence Life,,1900-12-30,1900-12-30,NOT STARTED
108,2025,,Theme Meal,Black History Month,Dining,,1900-12-30,1900-12-30,NOT STARTED
109,2025,,Theme Meal,Latin American ,Dining,,1900-12-30,1900-12-30,NOT STARTED
110,2025,,Theme Meal,Vendor Showcase,Dining/Catering,,1900-12-30,1900-12-30,NOT STARTED
111,2025,,Camps and Conferences,Summer Conference Registration Opens,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
112,2025,,Camps and Conferences,Summer Conference Sponsor Meetings Begin,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
113,2025,,Camps and Conferences,Summer Guest Housing Opens (Swanson),Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
114,2025,,Billing and Financial,Fall Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
115,2025,,Billing and Financial,Apartment August Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
116,2025,,Billing and Financial,Apartment September Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
117,2025,,Billing and Financial,Apartment October Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
118,2025,,Billing and Financial,Apartment November Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
119,2025,,Billing and Financial,Apartment December Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
120,2025,,Billing and Financial,Spring Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
121,2025,,Billing and Financial,Apartment January Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
122,2025,,Billing and Financial,Apartment February Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
123,2025,,Billing and Financial,Apartment March Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
124,2025,,Billing and Financial,Apartment April Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
125,2025,,Billing and Financial,Apartment May Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
126,2025,,Billing and Financial,Summer Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
127,2025,,Billing and Financial,Apartment June Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
128,2025,,Billing and Financial,Apartment July Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
129,2025,,Health and Life Safety,Residence Hall Fall Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
130,2025,,Health and Life Safety,Fall Health & Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
131,2025,,Health and Life Safety,Fall End of Semester Closing Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
132,2025,,Health and Life Safety,Residence Hall  Spring Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
133,2025,,Health and Life Safety,Spring Health & Safety Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
134,2025,,Health and Life Safety,Spring Closing Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
135,2025,,Health and Life Safety,Summer Health & Safety Checks,,,1900-12-30,1900-12-30,NOT STARTED
136,2025,,Health and Life Safety,Residence Hall Summer Fire Drills,,,1900-12-30,1900-12-30,NOT STARTED
137,2025,,Planning,Update Ops Calendar,,,1900-12-30,1900-12-30,NOT STARTED
138,2025,,Residential Curriculum,,,,1900-12-30,1900-12-30,NOT STARTED
139,2025,,Residential Curriculum,,,,1900-12-30,1900-12-30,NOT STARTED
140,2025,,Recognition,RA Appreciation Day,,,1900-12-30,1900-12-30,NOT STARTED
141,2025,,Recognition,Student Staff Appreciation Day,,,1900-12-30,1900-12-30,NOT STARTED
142,2025,,Recognition,ARH Banquet,ARH,,1900-12-30,1900-12-30,NOT STARTED
143,2025,,Recognition,Student Staff Banquet,,,1900-12-30,1900-12-30,NOT STARTED
144,2025,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
145,2025,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
146,2025,,Staff Training and Development,,,,1900-12-30,1900-12-30,NOT STARTED
147,2025,,Student Leadership,ARH Executive Board Orientation,ARH,,1900-12-30,1900-12-30,NOT STARTED
148,2025,,Student Leadership,ARH Move-Crew Orientation ,"Asst Director, Residential Experiences",,1900-12-30,1900-12-30,NOT STARTED
149,2025,,Student Leadership,Hall Government Recruitment & Elections,ARH,,1900-12-30,1900-12-30,NOT STARTED
150,2025,,Student Leadership,ARH First Official Meeting,ARH,,1900-12-30,1900-12-30,NOT STARTED
151,2025,,Student Leadership,Derrick Hanson Scholarship Process,ARH,,1900-12-30,1900-12-30,NOT STARTED
152,2025,,Student Leadership,NRHH Leadership Scholarships Applications Period,ARH,,1900-12-30,1900-12-30,NOT STARTED
153,2025,,Student Leadership,ARH Elections,ARH,,1900-12-30,1900-12-30,NOT STARTED
154,2026,,Academic,"Current Student, 3 month payment plan opens",,,1901-12-30,1901-12-30,NOT STARTED
155,2026,,Academic,Fall Last Day to change to/from audit grading for Full-Term course,,,1901-12-30,1901-12-30,NOT STARTED
156,2026,,Academic,Satisfactory Academic Progress petitions due,,,1901-12-30,1901-12-30,NOT STARTED
157,2026,,Academic,Report on unsatisfactory progress (deficiencies)due from faculty to starfish,,,1901-12-30,1901-12-30,NOT STARTED
158,2026,,Academic,Spring UND bookstore charing begins,,,1901-12-30,1901-12-30,NOT STARTED
159,2026,,Academic,Spring Satisfactory Academic Progress petitions due,,,1901-12-30,1901-12-30,NOT STARTED
160,2026,,Academic,Summer Last Day to add course or drop without record,,,1901-12-30,1901-12-30,NOT STARTED
161,2026,,Academic,Summer Last Day to drop with record,,,1901-12-30,1901-12-30,NOT STARTED
162,2024,,Policy and Contrtact,RH Contract,"Asst Director, Operations",,2023-08-27,2023-08-27,COMPLETE
163,2024,,Planning,Create Time Frames,"Asst Director, Operations",,2023-09-02,2023-09-02,COMPLETE
164,2024,,Planning,Update Ops Calendar,"Asst Director, Operations",,2023-09-15,2023-09-15,COMPLETE
165,2024,,Housing Applications and Assignments,RH Fall Application Opens,"Asst Director, Operations",,2023-10-02,2023-10-02,NOT STARTED
166,2024,,Student Staff Selection,Fall RA Staff Application Opens,,,2023-11-01,2023-11-01,COMPLETE
167,2024,,Housing Applications and Assignments,Room Sign Up and Apartment Marketing Begins,Marketing Manager,,2023-12-15,2023-12-15,COMPLETE
168,2024,,Fall Opening,Order Tents,,,2024-01-08,2024-01-08,COMPLETE
169,2024,,Fall Opening,Order Carts/Buggies,,,2024-01-08,2024-01-08,NOT STARTED
170,2024,,Housing Applications and Assignments,RH Returning Student Room Sign-up Opens,,,2024-01-17,2024-01-17,NOT STARTED
171,2024,,Student Staff Selection,Fall RA Staff Application Closes,,,2024-01-31,2024-01-31,NOT STARTED
172,2024,,Admissions and Orientation,Admitted Students Day,,,2024-02-23,2024-02-23,NOT STARTED
173,2024,,Fall Opening,Initial Stop Drop and Go Planning and Review meeting,,,2024-02-27,2024-02-27,NOT STARTED
174,2024,,Housing Applications and Assignments,RH Returning Student Room Sign-Up Final Room Change,,,2024-02-27,2024-02-27,NOT STARTED
175,2024,,Student Staff Selection,Fall RM Staff Selection Begins,,,2024-03-01,2024-03-01,NOT STARTED
176,2024,,Housing Applications and Assignments,Priority Deadline for RH Applications,,,2024-03-01,2024-03-01,NOT STARTED
177,2024,,Housing Applications and Assignments,Spring Apartment Notice to Vacate Reminder,,,2024-03-01,2024-03-01,NOT STARTED
178,2024,,Housing Applications and Assignments,"RH New Student Application Deadline For First Round Room Selection
(Roommate Selection, LLC Selection, Confirmation Deposit Paid)",,,2024-03-01,2024-03-01,NOT STARTED
179,2024,,Housing Applications and Assignments,LLC and Athlete Assignments,,,2024-03-06,2024-03-06,NOT STARTED
180,2024,,Housing Applications and Assignments,RH Returning Student Room Sign-Up Closes,,,2024-03-31,2024-03-31,NOT STARTED
181,2024,,Policy and Contrtact,Apartment Lease/Policy Updates,,,2024-04-01,2024-04-01,NOT STARTED
182,2024,,Policy and Contrtact,Residence Hall Policy Updates,,,2024-04-01,2024-04-01,NOT STARTED
183,2024,,Housing Applications and Assignments,RH New Student Fall Room Assignments,,,2024-04-06,2024-04-06,NOT STARTED
184,2024,,Budget and Rate Development,Apartment Rate Increase Letters,"Asst Director, Operations",,2024-05-15,2024-05-15,NOT STARTED
185,2024,,Academic,UND Bookstore Charging Begins,,,2024-06-10,2024-06-10,NOT STARTED
186,2024,,Fall Opening,Update Move-in Web Page,Marketing Manager,,2024-06-14,2024-06-14,NOT STARTED
187,2024,,Fall Opening,Move-in Scheduling Process,,,2024-06-14,2024-06-14,NOT STARTED
188,2024,,Fall Opening,Key Audits,,,2024-06-24,2024-07-15,NOT STARTED
189,2024,,Billing and Financial,Fall Bill Export,,,2024-06-28,2024-06-28,NOT STARTED
190,2024,,Academic,Fall 2024 Tuition and Fee Charges Viewable on Campus Connection,,,2024-07-02,2024-07-02,NOT STARTED
191,2024,,Academic,"Current Student, 5 month payment plan opens",,,2024-07-02,2024-07-02,NOT STARTED
192,2024,,Fall Opening,Stop Drop and Go Web site and Map completed,Marketing Manager,,2024-07-10,2024-07-10,NOT STARTED
193,2024,,Fall Opening,Stop Drop and Go Signage Order placed,Marketing Manager,,2024-07-12,2024-07-12,NOT STARTED
194,2024,,Housing Applications and Assignments,RH Fall Early Arrival Application,,,2024-07-15,2024-07-15,NOT STARTED
195,2024,,Housing Applications and Assignments,RH New Student Spring Application,,,2024-07-15,2024-07-15,NOT STARTED
196,2024,,Admissions and Orientation,New Student Summer Orientation,,,2024-07-17,2024-07-25,NOT STARTED
197,2024,,Academic,Last Day to Sign Up for a 5 month Payment Plan,,,2024-07-24,2024-07-24,NOT STARTED
198,2024,,Academic,Last day to submit family member tuition waivers For Fall,,,2024-07-26,2024-07-26,NOT STARTED
199,2024,,Billing and Financial,Apartment August Rent Export/Send Rent Reminder,,,2024-07-26,2024-07-26,NOT STARTED
200,2024,,Fall Opening,All Buildings Cleaned and Ready for Move-In,,,2024-07-26,2024-07-26,NOT STARTED
201,2024,,Academic,Summer Commencement,,,2024-08-02,2024-08-02,NOT STARTED
202,2024,,Fall Opening,Order Meal Cards for Staff working on weekend,,,2024-08-06,2024-08-06,NOT STARTED
203,2024,,Fall Opening,Coordinate Move-in Volunteers,,,2024-08-06,2024-08-06,NOT STARTED
204,2024,,Academic,Summer Commencement,,,2024-08-08,2024-08-08,NOT STARTED
205,2024,,Fall Opening,Residence Hall Move-in Signage Hung Up,Marketing Manager,,2024-08-12,2024-08-12,NOT STARTED
206,2024,,Fall Opening,Coordinate Office Staff Weekend Coverage,,,2024-08-12,2024-08-12,NOT STARTED
207,2024,,Fall Opening,Room Inventory and Inspections,,,2024-08-12,2024-08-12,NOT STARTED
208,2024,,Campus Events ,Welcome Weekend,,,2024-08-23,2024-08-26,NOT STARTED
209,2024,,Academic,Last Day to Sign Up for 4 month Payment Plan,,,2024-08-24,2024-08-24,NOT STARTED
210,2024,,Fall Opening,RH Official Opening Date (Saturday),,,2024-08-24,2024-08-24,NOT STARTED
211,2024,,Academic,Financial Aid Consortium Agreements Due,,,2024-08-26,2024-08-26,NOT STARTED
212,2024,,Academic,ND Resident Tuition Rate Applications Due,,,2024-08-26,2024-08-26,NOT STARTED
213,2024,,Billing and Financial,Apartment September Rent Export/Send Rent Reminder,,,2024-08-26,2024-08-26,NOT STARTED
214,2024,,Academic,Fall First Full Day of Classes,,,2024-08-27,2024-08-27,NOT STARTED
215,2024,,Health and Life Safety,Residence Hall Fall Fire Drills,,,2024-08-27,2024-08-31,NOT STARTED
216,2024,,Housing Applications and Assignments,Fall RH No Shows Due,,,2024-08-28,2024-08-28,NOT STARTED
217,2024,,Academic,UND Bookstore Charging Ends,,,2024-08-30,2024-08-30,NOT STARTED
218,2025,,Policy and Contrtact,RH Contract,,,2024-09-01,2024-09-01,NOT STARTED
219,2025,,Planning,Create Time Frames,,,2024-09-01,2024-09-01,NOT STARTED
